id;fecha;valor;variacion;fuente;created_at
481;20240424;62348.7;0.11;archivo_dat;2026-01-05 08:23:29
482;20240425;62905.39;0.89;archivo_dat;2026-01-05 08:23:29
483;20240426;62436.86;-0.74;archivo_dat;2026-01-05 08:23:29
484;20240429;62033.81;-0.65;archivo_dat;2026-01-05 08:23:29
485;20240430;62713.43;1.1;archivo_dat;2026-01-05 08:23:29
486;20240502;64350.48;2.61;archivo_dat;2026-01-05 08:23:29
487;20240503;64629.6;0.43;archivo_dat;2026-01-05 08:23:29
488;20240506;63369.31;-1.95;archivo_dat;2026-01-05 08:23:29
489;20240507;63838.69;0.74;archivo_dat;2026-01-05 08:23:29
490;20240508;64127.9;0.45;archivo_dat;2026-01-05 08:23:29
491;20240509;63950.07;-0.28;archivo_dat;2026-01-05 08:23:29
492;20240510;63262.05;-1.08;archivo_dat;2026-01-05 08:23:29
493;20240514;62946.97;-0.5;archivo_dat;2026-01-05 08:23:29
494;20240515;62719.36;-0.36;archivo_dat;2026-01-05 08:23:29
495;20240516;62680.67;-0.06;archivo_dat;2026-01-05 08:23:29
496;20240517;62859.55;0.29;archivo_dat;2026-01-05 08:23:29
497;20240520;63189.52;0.52;archivo_dat;2026-01-05 08:23:29
498;20240521;63537.36;0.55;archivo_dat;2026-01-05 08:23:29
499;20240522;65113.6;2.48;archivo_dat;2026-01-05 08:23:29
500;20240523;64807.15;-0.47;archivo_dat;2026-01-05 08:23:29
501;20240524;65752.09;1.46;archivo_dat;2026-01-05 08:23:29
502;20240527;67082.71;2.02;archivo_dat;2026-01-05 08:23:29
503;20240528;67436.14;0.53;archivo_dat;2026-01-05 08:23:29
504;20240529;67635.62;0.3;archivo_dat;2026-01-05 08:23:29
505;20240530;68680.49;1.54;archivo_dat;2026-01-05 08:23:29
506;20240531;69210.19;0.77;archivo_dat;2026-01-05 08:23:29
507;20240604;69482.91;0.39;archivo_dat;2026-01-05 08:23:29
508;20240605;70255.8;1.11;archivo_dat;2026-01-05 08:23:29
509;20240606;71084.91;1.18;archivo_dat;2026-01-05 08:23:29
510;20240607;71570.16;0.68;archivo_dat;2026-01-05 08:23:29
511;20240610;73241.88;2.34;archivo_dat;2026-01-05 08:23:29
512;20240611;72026.69;-1.66;archivo_dat;2026-01-05 08:23:29
513;20240612;74353.88;3.23;archivo_dat;2026-01-05 08:23:29
514;20240613;74469.41;0.16;archivo_dat;2026-01-05 08:23:29
515;20240614;75604.34;1.52;archivo_dat;2026-01-05 08:23:29
516;20240618;76017.22;0.55;archivo_dat;2026-01-05 08:23:29
517;20240619;76518.41;0.66;archivo_dat;2026-01-05 08:23:29
518;20240620;76344.47;-0.23;archivo_dat;2026-01-05 08:23:29
519;20240621;76463.34;0.16;archivo_dat;2026-01-05 08:23:29
520;20240625;77083.16;0.81;archivo_dat;2026-01-05 08:23:29
521;20240626;77538.43;0.59;archivo_dat;2026-01-05 08:23:29
522;20240627;77421.72;-0.15;archivo_dat;2026-01-05 08:23:29
523;20240628;78695.2;1.64;archivo_dat;2026-01-05 08:23:29
524;20240701;80455.84;2.24;archivo_dat;2026-01-05 08:23:29
525;20240702;86686.74;7.74;archivo_dat;2026-01-05 08:23:29
526;20240703;88817.26;2.46;archivo_dat;2026-01-05 08:23:29
527;20240704;88433.84;-0.43;archivo_dat;2026-01-05 08:23:29
528;20240708;88213.71;-0.25;archivo_dat;2026-01-05 08:23:29
529;20240709;87595.27;-0.7;archivo_dat;2026-01-05 08:23:29
530;20240710;88319.94;0.83;archivo_dat;2026-01-05 08:23:29
531;20240711;88804.29;0.55;archivo_dat;2026-01-05 08:23:29
532;20240712;90723.5;2.16;archivo_dat;2026-01-05 08:23:29
533;20240715;90140.82;-0.64;archivo_dat;2026-01-05 08:23:29
534;20240716;88761.46;-1.53;archivo_dat;2026-01-05 08:23:29
535;20240717;86848.59;-2.16;archivo_dat;2026-01-05 08:23:29
536;20240718;84382.19;-2.84;archivo_dat;2026-01-05 08:23:29
537;20240719;85263.17;1.04;archivo_dat;2026-01-05 08:23:29
